entity,code,year,literacy_rate,mf_youth_and_adults__15_64_years__average_years_of_education,population_historical,owid_region
East Asia and Pacific (WB),,1976,65.691,,,
East Asia and Pacific (WB),,1977,65.87666,,,
East Asia and Pacific (WB),,1978,66.96806,,,
East Asia and Pacific (WB),,1979,68.20414,,,
East Asia and Pacific (WB),,1980,69.30146,,,
East Asia and Pacific (WB),,1981,70.34557,,,
East Asia and Pacific (WB),,1982,71.3144,,,
East Asia and Pacific (WB),,1983,72.2447,,,
East Asia and Pacific (WB),,1984,73.23163,,,
East Asia and Pacific (WB),,1985,74.16798,,,
East Asia and Pacific (WB),,1986,75.00072,,,
East Asia and Pacific (WB),,1987,76.17425,,,
East Asia and Pacific (WB),,1988,79.95977,,,
East Asia and Pacific (WB),,1989,80.58923,,,
East Asia and Pacific (WB),,1990,81.17076,,,
East Asia and Pacific (WB),,1991,81.71117,,,
East Asia and Pacific (WB),,1992,82.22357,,,
East Asia and Pacific (WB),,1993,82.68984,,,
East Asia and Pacific (WB),,1994,83.24469,,,
East Asia and Pacific (WB),,1995,83.8043,,,
East Asia and Pacific (WB),,1996,84.29005,,,
East Asia and Pacific (WB),,1997,89.27749,,,
East Asia and Pacific (WB),,1998,89.64291,,,
East Asia and Pacific (WB),,1999,89.96028,,,
East Asia and Pacific (WB),,2000,90.32185,,,
East Asia and Pacific (WB),,2001,90.63564,,,
East Asia and Pacific (WB),,2002,90.98982,,,
East Asia and Pacific (WB),,2003,91.36144,,,
East Asia and Pacific (WB),,2004,91.69448,,,
East Asia and Pacific (WB),,2005,92.02961,,,
East Asia and Pacific (WB),,2006,92.37919,,,
East Asia and Pacific (WB),,2007,93.5125,,,
East Asia and Pacific (WB),,2008,93.81618,,,
East Asia and Pacific (WB),,2009,94.08518,,,
East Asia and Pacific (WB),,2010,94.20017,,,
East Asia and Pacific (WB),,2011,93.8646,,,
East Asia and Pacific (WB),,2012,94.09502,,,
East Asia and Pacific (WB),,2013,94.20693,,,
East Asia and Pacific (WB),,2014,94.71124,,,
East Asia and Pacific (WB),,2015,94.92792,,,
East Asia and Pacific (WB),,2016,95.13196,,,
East Asia and Pacific (WB),,2017,95.32305,,,
East Asia and Pacific (WB),,2018,95.36943,,,
East Asia and Pacific (WB),,2019,95.80688,,,
East Asia and Pacific (WB),,2020,96.0287,,,
East Asia and Pacific (WB),,2021,96.16493,,,
East Asia and Pacific (WB),,2022,96.30093,,,
East Asia and Pacific (WB),,2023,96.43049,,,
East Timor,TLS,1950,3,,414767,Asia
East Timor,TLS,2001,38,,812253,Asia
East Timor,TLS,2007,51,,1004898,Asia
East Timor,TLS,2010,58,,1084688,Asia
East Timor,TLS,2016,65.77913,,1228314,Asia
Eastern and South-Eastern Asia (SDG),,1976,65.50171,,,
Eastern and South-Eastern Asia (SDG),,1977,65.68772,,,
Eastern and South-Eastern Asia (SDG),,1978,66.79352,,,
Eastern and South-Eastern Asia (SDG),,1979,68.04645,,,
Eastern and South-Eastern Asia (SDG),,1980,69.1582,,,
Eastern and South-Eastern Asia (SDG),,1981,70.21553,,,
Eastern and South-Eastern Asia (SDG),,1982,71.19647,,,
Eastern and South-Eastern Asia (SDG),,1983,72.1383,,,
Eastern and South-Eastern Asia (SDG),,1984,73.13766,,,
Eastern and South-Eastern Asia (SDG),,1985,74.08572,,,
Eastern and South-Eastern Asia (SDG),,1986,74.92859,,,
Eastern and South-Eastern Asia (SDG),,1987,76.1177,,,
Eastern and South-Eastern Asia (SDG),,1988,79.95864,,,
Eastern and South-Eastern Asia (SDG),,1989,80.59546,,,
Eastern and South-Eastern Asia (SDG),,1990,81.18364,,,
Eastern and South-Eastern Asia (SDG),,1991,81.73081,,,
Eastern and South-Eastern Asia (SDG),,1992,82.24957,,,
Eastern and South-Eastern Asia (SDG),,1993,82.72173,,,
Eastern and South-Eastern Asia (SDG),,1994,83.28386,,,
Eastern and South-Eastern Asia (SDG),,1995,83.85079,,,
Eastern and South-Eastern Asia (SDG),,1996,84.34014,,,
Eastern and South-Eastern Asia (SDG),,1997,89.39987,,,
Eastern and South-Eastern Asia (SDG),,1998,89.76716,,,
Eastern and South-Eastern Asia (SDG),,1999,90.08641,,,
Eastern and South-Eastern Asia (SDG),,2000,90.45192,,,
Eastern and South-Eastern Asia (SDG),,2001,90.76801,,,
Eastern and South-Eastern Asia (SDG),,2002,91.12475,,,
Eastern and South-Eastern Asia (SDG),,2003,91.49954,,,
Eastern and South-Eastern Asia (SDG),,2004,91.83497,,,
Eastern and South-Eastern Asia (SDG),,2005,92.17309,,,
Eastern and South-Eastern Asia (SDG),,2006,92.52596,,,
Eastern and South-Eastern Asia (SDG),,2007,93.67552,,,
Eastern and South-Eastern Asia (SDG),,2008,93.98298,,,
Eastern and South-Eastern Asia (SDG),,2009,94.25554,,,
Eastern and South-Eastern Asia (SDG),,2010,94.37094,,,
Eastern and South-Eastern Asia (SDG),,2011,94.03088,,,
Eastern and South-Eastern Asia (SDG),,2012,94.26621,,,
Eastern and South-Eastern Asia (SDG),,2013,94.38122,,,
Eastern and South-Eastern Asia (SDG),,2014,94.89836,,,
Eastern and South-Eastern Asia (SDG),,2015,95.12345,,,
Eastern and South-Eastern Asia (SDG),,2016,95.33295,,,
Eastern and South-Eastern Asia (SDG),,2017,95.52963,,,
Eastern and South-Eastern Asia (SDG),,2018,95.57909,,,
Eastern and South-Eastern Asia (SDG),,2019,96.02655,,,
Eastern and South-Eastern Asia (SDG),,2020,96.25462,,,
Eastern and South-Eastern Asia (SDG),,2021,96.39394,,,
Eastern and South-Eastern Asia (SDG),,2022,96.53545,,,
Eastern and South-Eastern Asia (SDG),,2023,96.6705,,,
Ecuador,ECU,1870,,0.19,1026980,South America
Ecuador,ECU,1875,,0.24,1087561,South America
Ecuador,ECU,1880,,0.3,1151684,South America
Ecuador,ECU,1885,,0.37,1219574,South America
Ecuador,ECU,1890,,0.45,1291452,South America
Ecuador,ECU,1895,,0.56,1367550,South America
Ecuador,ECU,1900,,0.9,1451333,South America
Ecuador,ECU,1905,,1.04,1561601,South America
Ecuador,ECU,1910,,1.25,1679429,South America
Ecuador,ECU,1915,,1.42,1777234,South America
Ecuador,ECU,1920,,1.58,1870163,South America
Ecuador,ECU,1925,,1.68,1951155,South America
Ecuador,ECU,1930,,1.86,2052817,South America
Ecuador,ECU,1935,,2.08,2291278,South America
Ecuador,ECU,1940,,2.23,2592696,South America
Ecuador,ECU,1945,,2.43,3018002,South America
Ecuador,ECU,1950,57.5,2.62,3516791,South America
Ecuador,ECU,1955,,2.93,4006189,South America
Ecuador,ECU,1960,,3.29,4590893,South America
Ecuador,ECU,1965,,4,5303960,South America
Ecuador,ECU,1970,,4.55,6155392,South America
Ecuador,ECU,1975,,5.07,7118258,South America
Ecuador,ECU,1980,,6.35,8165882,South America
Ecuador,ECU,1982,84,,8611296,South America
Ecuador,ECU,1985,,6.76,9311152,South America
Ecuador,ECU,1990,88,7.23,10473674,South America
Ecuador,ECU,1995,,7.32,11590519,South America
Ecuador,ECU,2000,,7.41,12689215,South America
Ecuador,ECU,2001,91,,12910736,South America
Ecuador,ECU,2005,,7.7,13846162,South America
Ecuador,ECU,2007,92,,14328783,South America
Ecuador,ECU,2008,92,,14575201,South America
Ecuador,ECU,2009,92,,14825960,South America
Ecuador,ECU,2010,92,8.02,15076697,South America
Ecuador,ECU,2011,92,,15326232,South America
Ecuador,ECU,2012,92,,15572195,South America
Ecuador,ECU,2013,93,,15807132,South America
Ecuador,ECU,2014,94,,16035127,South America
Ecuador,ECU,2015,94,8.54,16266229,South America
Ecuador,ECU,2016,94,,16505142,South America
Ecuador,ECU,2017,93,,16759515,South America
Ecuador,ECU,2020,94,9.07,17546058,South America
Ecuador,ECU,2021,94,,17682454,South America
Ecuador,ECU,2022,94,,17823900,South America
Egypt,EGY,1870,,0.02,6885909,Africa
Egypt,EGY,1875,,0.02,7223941,Africa
Egypt,EGY,1880,,0.03,7594768,Africa
Egypt,EGY,1885,,0.04,8091603,Africa
Egypt,EGY,1890,,0.05,8643889,Africa
Egypt,EGY,1895,,0.07,9268507,Africa
Egypt,EGY,1900,,0.09,9940289,Africa
Egypt,EGY,1905,,0.12,10636440,Africa
Egypt,EGY,1907,7.3,,10926812,Africa
Egypt,EGY,1910,,0.16,11361079,Africa
Egypt,EGY,1915,,0.22,12028348,Africa
Egypt,EGY,1917,8.8,,12299362,Africa
Egypt,EGY,1920,,0.31,12731391,Africa
Egypt,EGY,1925,,0.41,13461191,Africa
Egypt,EGY,1927,14.1,,13762974,Africa
Egypt,EGY,1930,,0.46,14249967,Africa
Egypt,EGY,1935,,0.3,15227663,Africa
Egypt,EGY,1937,14.8,,15646375,Africa
Egypt,EGY,1940,,0.36,16423191,Africa
Egypt,EGY,1945,,0.42,18580434,Africa
Egypt,EGY,1950,22.5,0.54,21148168,Africa
Egypt,EGY,1955,,0.7,23795234,Africa
Egypt,EGY,1960,,0.85,26896480,Africa
Egypt,EGY,1965,,1.11,30629174,Africa
Egypt,EGY,1970,,1.41,34623990,Africa
Egypt,EGY,1975,,1.82,38875326,Africa
Egypt,EGY,1976,38,,39795558,Africa
Egypt,EGY,1980,,2.8,43950413,Africa
Egypt,EGY,1985,,3.92,50734974,Africa
Egypt,EGY,1986,44,,52206296,Africa
Egypt,EGY,1990,,4.6,58396625,Africa
Egypt,EGY,1995,,5.36,65652621,Africa
Egypt,EGY,1996,56,,67028045,Africa
Egypt,EGY,2000,,6.3,73083287,Africa
Egypt,EGY,2005,67,6.93,81101012,Africa
Egypt,EGY,2006,66,,82700404,Africa
Egypt,EGY,2010,72,7.44,89196073,Africa
Egypt,EGY,2012,74,,93161000,Africa
Egypt,EGY,2013,72,,95333551,Africa
Egypt,EGY,2015,,7.53,99597334,Africa
Egypt,EGY,2017,71,,103696055,Africa
Egypt,EGY,2020,,8.01,109315118,Africa
El Salvador,SLV,1870,,0.22,511554,North America
El Salvador,SLV,1875,,0.27,573419,North America
El Salvador,SLV,1880,,0.34,642161,North America
El Salvador,SLV,1885,,0.42,697192,North America
El Salvador,SLV,1890,,0.51,750809,North America
El Salvador,SLV,1895,,0.6,792081,North America
El Salvador,SLV,1900,,0.82,839397,North America
El Salvador,SLV,1905,,0.92,933391,North America
El Salvador,SLV,1910,,1.15,1045631,North America
El Salvador,SLV,1915,,1.21,1171943,North America
El Salvador,SLV,1920,,1.28,1307019,North America
El Salvador,SLV,1925,,1.35,1450417,North America
El Salvador,SLV,1930,,1.41,1600789,North America
El Salvador,SLV,1935,,1.41,1711486,North America
El Salvador,SLV,1940,,1.41,1826506,North America
El Salvador,SLV,1945,,1.54,1986714,North America
El Salvador,SLV,1950,37.5,1.55,2183513,North America
El Salvador,SLV,1955,,1.7,2456598,North America
El Salvador,SLV,1960,,1.98,2791448,North America
El Salvador,SLV,1965,,2.41,3199474,North America
El Salvador,SLV,1970,,2.9,3668799,North America
El Salvador,SLV,1975,,3.37,4120451,North America
El Salvador,SLV,1980,,3.74,4540377,North America
El Salvador,SLV,1985,,4.57,4894703,North America
El Salvador,SLV,1990,,5.08,5399728,North America
El Salvador,SLV,1992,74,,5585611,North America
El Salvador,SLV,1995,,5.8,5762135,North America
El Salvador,SLV,2000,,7.04,5943363,North America
El Salvador,SLV,2005,,8.08,6005583,North America
El Salvador,SLV,2006,84,,6002321,North America
El Salvador,SLV,2007,82,,6009820,North America
El Salvador,SLV,2008,84,,6029302,North America
El Salvador,SLV,2009,84,,6048284,North America
El Salvador,SLV,2010,84,8.06,6068253,North America
El Salvador,SLV,2011,85,,6090128,North America
El Salvador,SLV,2013,87,,6138845,North America
El Salvador,SLV,2015,88,7.67,6183675,North America
El Salvador,SLV,2016,88,,6200808,North America
El Salvador,SLV,2017,88,,6213538,North America
El Salvador,SLV,2018,89,,6219803,North America
El Salvador,SLV,2019,89,,6222316,North America
El Salvador,SLV,2020,90,8.1,6234679,North America
El Salvador,SLV,2023,90,,6309629,North America
Equatorial Guinea,GNQ,1950,22.5,,226570,Africa
Equatorial Guinea,GNQ,2000,88,,703287,Africa
Eritrea,ERI,1950,3,,814880,Africa
Eritrea,ERI,2002,53,,2392981,Africa
Eritrea,ERI,2008,65,,2816331,Africa
Estonia,EST,1989,100,,1567590,Europe
Estonia,EST,2000,100,,1397001,Europe
Estonia,EST,2011,100,,1327366,Europe
Estonia,EST,2015,,12.33,1314580,Europe
Estonia,EST,2020,,12.29,1329675,Europe
Eswatini,SWZ,1870,,0.01,80694,Africa
Eswatini,SWZ,1875,,0.01,84799,Africa
Eswatini,SWZ,1880,,0.01,89113,Africa
Eswatini,SWZ,1885,,0.01,93647,Africa
Eswatini,SWZ,1890,,0.01,98411,Africa
Eswatini,SWZ,1895,,0.01,103417,Africa
Eswatini,SWZ,1900,,0.01,109096,Africa
Eswatini,SWZ,1905,,0.01,117859,Africa
Eswatini,SWZ,1910,,0.05,127720,Africa
Eswatini,SWZ,1915,,0.11,137920,Africa
Eswatini,SWZ,1920,,0.15,149409,Africa
Eswatini,SWZ,1925,,0.36,165263,Africa
Eswatini,SWZ,1930,,0.49,183282,Africa
Eswatini,SWZ,1935,,0.62,202637,Africa
Eswatini,SWZ,1940,,0.78,223795,Africa
Eswatini,SWZ,1945,,0.96,246248,Africa
Eswatini,SWZ,1950,17.5,1.27,271670,Africa
Eswatini,SWZ,1955,,1.55,307222,Africa
Eswatini,SWZ,1960,,1.81,345339,Africa
Eswatini,SWZ,1965,,2.16,388342,Africa
Eswatini,SWZ,1970,,3,441223,Africa
Eswatini,SWZ,1975,,3.96,507675,Africa
Eswatini,SWZ,1976,55,,523339,Africa
Eswatini,SWZ,1980,,4.6,596657,Africa
Eswatini,SWZ,1985,,5.26,706204,Africa
Eswatini,SWZ,1986,67,,734736,Africa
Eswatini,SWZ,1990,,5.28,872436,Africa
Eswatini,SWZ,1995,,5.2,970439,Africa
Eswatini,SWZ,2000,82,4.62,1041428,Africa
Eswatini,SWZ,2005,,4.64,1079022,Africa
Eswatini,SWZ,2010,,5.33,1111651,Africa
Eswatini,SWZ,2015,,5.77,1142822,Africa
Eswatini,SWZ,2020,,6.46,1192734,Africa
Eswatini,SWZ,2022,90.74702,,1218921,Africa
Ethiopia,ETH,1950,3,,17670418,Africa
Ethiopia,ETH,1994,27,,55611514,Africa
Ethiopia,ETH,2004,36,,76077211,Africa
Ethiopia,ETH,2007,39,,83103218,Africa
Ethiopia,ETH,2016,47.49159,,106718163,Africa
Europe,,1870,,1.1955043,318496223,
Europe,,1875,,1.30278,331195305,
Europe,,1880,,1.4766871,344673453,
Europe,,1885,,1.6514844,358686783,
Europe,,1890,,1.8291454,373396202,
Europe,,1895,,2.01581,389164415,
Europe,,1900,,2.2164466,405874841,
Europe,,1905,,2.4723094,424074645,
Europe,,1910,,2.6848907,441597178,
Europe,,1915,,2.98819,448886334,
Europe,,1920,,3.3209662,455905600,
Europe,,1925,,3.625755,472684702,
Europe,,1930,,3.8634381,491337000,
Europe,,1935,,4.219889,509162668,
Europe,,1940,,4.57336,526706729,
Europe,,1945,,4.9206114,538385925,
Europe,,1950,,5.2873154,549374181,
Europe,,1955,,5.575027,575990558,
Europe,,1960,,5.8116856,606417128,
Europe,,1965,,6.2470074,635044327,
Europe,,1970,,6.7751517,657660067,
Europe,,1975,,7.380262,677953491,
Europe,,1980,,7.9766736,694976561,
Europe,,1985,,8.54389,709686996,
Europe,,1990,,9.28623,724943715,
Europe,,1995,,9.9699335,730260103,
Europe,,2000,,10.59524,729129967,
Europe,,2005,,11.250854,733101021,
Europe,,2010,,11.683311,739291483,
Europe,,2015,,11.717827,745474876,
Europe,,2020,,11.9022875,750844584,
Europe and Central Asia (WB),,1994,95.93806,,,
Europe and Central Asia (WB),,1995,96.06758,,,
Europe and Central Asia (WB),,1996,96.22135,,,
Europe and Central Asia (WB),,1997,96.3414,,,
Europe and Central Asia (WB),,1998,96.48624,,,
Europe and Central Asia (WB),,1999,96.59245,,,
Europe and Central Asia (WB),,2000,96.65252,,,
Europe and Central Asia (WB),,2001,96.7528,,,
Europe and Central Asia (WB),,2002,96.91116,,,
Europe and Central Asia (WB),,2003,97.00517,,,
Europe and Central Asia (WB),,2004,97.09123,,,
Europe and Central Asia (WB),,2005,97.21017,,,
Europe and Central Asia (WB),,2006,97.27016,,,
Europe and Central Asia (WB),,2007,97.35178,,,
Europe and Central Asia (WB),,2008,97.47324,,,
Europe and Central Asia (WB),,2009,97.73077,,,
Europe and Central Asia (WB),,2010,97.89465,,,
Europe and Central Asia (WB),,2011,98.03516,,,
Europe and Central Asia (WB),,2012,98.13266,,,
Europe and Central Asia (WB),,2013,98.19623,,,
Europe and Central Asia (WB),,2014,98.23871,,,
Europe and Central Asia (WB),,2015,98.28185,,,
Europe and Central Asia (WB),,2016,98.33891,,,
Europe and Central Asia (WB),,2017,98.41798,,,
Europe and Central Asia (WB),,2018,98.50179,,,
Europe and Central Asia (WB),,2019,98.56401,,,
Europe and Central Asia (WB),,2020,98.60383,,,
Europe and Central Asia (WB),,2021,98.64628,,,
Europe and Central Asia (WB),,2022,98.66442,,,
Europe and Central Asia (WB),,2023,98.68871,,,
Europe and Northern America (SDG),,2003,97.8978,,,
Europe and Northern America (SDG),,2004,97.95613,,,
Europe and Northern America (SDG),,2005,98.00925,,,
Europe and Northern America (SDG),,2006,98.077,,,
Europe and Northern America (SDG),,2018,98.61607,,,
Europe and Northern America (SDG),,2019,98.64308,,,
Europe and Northern America (SDG),,2020,98.66912,,,
Europe and Northern America (SDG),,2021,98.69566,,,
Europe and Northern America (SDG),,2022,98.70273,,,
Falkland Islands,FLK,1950,92.5,,2214,South America
Faroe Islands,FRO,1950,98.5,,31690,Europe
Fiji,FJI,1870,,0.01,132535,Oceania
Fiji,FJI,1875,,0.01,131435,Oceania
Fiji,FJI,1880,,0.01,130163,Oceania
Fiji,FJI,1885,,0.01,127772,Oceania
Fiji,FJI,1890,,0.02,125548,Oceania
Fiji,FJI,1895,,0.03,125255,Oceania
Fiji,FJI,1900,,0.05,126498,Oceania
Fiji,FJI,1905,,0.08,135900,Oceania
Fiji,FJI,1910,,0.25,147045,Oceania
Fiji,FJI,1915,,0.46,156729,Oceania
Fiji,FJI,1920,,0.88,167453,Oceania
Fiji,FJI,1925,,1.61,186774,Oceania
Fiji,FJI,1930,,2,210278,Oceania
Fiji,FJI,1935,,2.41,240404,Oceania
Fiji,FJI,1940,,2.76,272546,Oceania
Fiji,FJI,1945,,3.08,289423,Oceania
Fiji,FJI,1950,67.5,3.77,309525,Oceania
Fiji,FJI,1955,,4.24,349084,Oceania
Fiji,FJI,1960,,4.57,404901,Oceania
Fiji,FJI,1965,,5.24,472583,Oceania
Fiji,FJI,1970,,5.67,531198,Oceania
Fiji,FJI,1975,,6.4,575919,Oceania
Fiji,FJI,1980,,7.16,641985,Oceania
Fiji,FJI,1985,,7.85,723767,Oceania
Fiji,FJI,1990,,9.24,773325,Oceania
Fiji,FJI,1995,,10.28,798750,Oceania
Fiji,FJI,2000,,9.97,840913,Oceania
Fiji,FJI,2005,,9.76,882384,Oceania
Fiji,FJI,2010,,10.35,910427,Oceania
Fiji,FJI,2015,,11.09,918585,Oceania
Fiji,FJI,2020,,11.52,914971,Oceania
Finland,FIN,1870,,0.13,1768777,Europe
Finland,FIN,1875,,0.16,1894323,Europe
Finland,FIN,1880,,0.19,2044905,Europe
Finland,FIN,1885,,0.23,2198670,Europe
Finland,FIN,1890,,0.3,2358016,Europe
Finland,FIN,1895,,0.39,2499032,Europe
Finland,FIN,1900,38.8,1.16,2641827,Europe
Finland,FIN,1905,,1.55,2781046,Europe
Finland,FIN,1910,55.3,1.63,2919587,Europe
Finland,FIN,1915,,1.98,3025373,Europe
Finland,FIN,1920,69.9,2.35,3134300,Europe
Finland,FIN,1925,,2.74,3282981,Europe
Finland,FIN,1930,84.1,3.09,3439039,Europe
Finland,FIN,1935,,3.4,3566585,Europe
Finland,FIN,1940,,3.52,3695558,Europe
Finland,FIN,1945,,3.68,3845261,Europe
Finland,FIN,1950,98.5,3.91,4008410,Europe
Finland,FIN,1955,,4.06,4235197,Europe
Finland,FIN,1960,,4.25,4429631,Europe
Finland,FIN,1965,,4.97,4564150,Europe
Finland,FIN,1970,,5.99,4606308,Europe
Finland,FIN,1975,,7.11,4711172,Europe
Finland,FIN,1980,,8.04,4779358,Europe
Finland,FIN,1985,,8.01,4902262,Europe
Finland,FIN,1990,,8.56,4986576,Europe
Finland,FIN,1995,,9.31,5107919,Europe
Finland,FIN,2000,,9.9,5176197,Europe
Finland,FIN,2005,,10.42,5246078,Europe
Finland,FIN,2010,,10.71,5363347,Europe
Finland,FIN,2015,,10.94,5479719,Europe
Finland,FIN,2020,,11.05,5529616,Europe
France,FRA,1475,6,,14867569,Europe
France,FRA,1550,19,,18314626,Europe
France,FRA,1650,29,,21992348,Europe
France,FRA,1750,29,,24994858,Europe
France,FRA,1870,,0.7,38186983,Europe
France,FRA,1875,,0.81,38464245,Europe
France,FRA,1880,,1.2,38730622,Europe
France,FRA,1885,,1.55,39130866,Europe
France,FRA,1890,,1.8,39532330,Europe
France,FRA,1895,,2.09,39785987,Europe
France,FRA,1900,,2.35,40019136,Europe
France,FRA,1901,83.5,,40067484,Europe
France,FRA,1905,,2.65,40265996,Europe
France,FRA,1906,85.9,,40315932,Europe
France,FRA,1910,,2.95,40344819,Europe
France,FRA,1911,88.1,,40224160,Europe
France,FRA,1915,,3.21,39351947,Europe
France,FRA,1920,,3.45,38529587,Europe
France,FRA,1921,91.8,,38594388,Europe
France,FRA,1925,,3.66,39513139,Europe
France,FRA,1926,93.9,,39769931,Europe
France,FRA,1930,,3.79,40618294,Europe
France,FRA,1931,94.7,,40687278,Europe
France,FRA,1935,,3.94,40512018,Europe
France,FRA,1936,96,,40452232,Europe
France,FRA,1940,,4.11,40337546,Europe
France,FRA,1945,,4.27,40952105,Europe
France,FRA,1946,96.6,,41101259,Europe
France,FRA,1950,96.5,4.42,41883122,Europe
France,FRA,1955,,4.56,44136093,Europe
France,FRA,1960,,4.32,46428136,Europe
France,FRA,1965,,4.78,48772824,Europe
France,FRA,1970,,5.46,50813071,Europe
France,FRA,1975,,6.05,52746324,Europe
France,FRA,1980,,6.37,53941061,Europe
France,FRA,1985,,7.37,55467153,Europe
France,FRA,1990,,8.32,56990239,Europe
France,FRA,1995,,9.36,58192207,Europe
France,FRA,2000,,10.22,59483716,Europe
France,FRA,2005,,10.86,61625031,Europe
France,FRA,2010,,11.34,63417366,Europe
France,FRA,2015,,11.6,64916337,Europe
France,FRA,2020,,11.89,65905273,Europe
French Guiana,GUF,1950,67.5,,23418,South America
French Guiana,GUF,1982,83,,72287,South America
French Polynesia,PYF,1950,32.5,,64360,Oceania
Gabon,GAB,1993,72,,1066404,Africa
Gabon,GAB,2015,,9.53,2040990,Africa
Gabon,GAB,2020,,10.18,2322538,Africa
Gabon,GAB,2021,88.85834,,2376729,Africa
Gambia,GMB,1870,,0.05,128114,Africa
Gambia,GMB,1875,,0.06,134157,Africa
Gambia,GMB,1880,,0.08,140733,Africa
Gambia,GMB,1885,,0.1,147629,Africa
Gambia,GMB,1890,,0.12,154676,Africa
Gambia,GMB,1895,,0.16,160839,Africa
Gambia,GMB,1900,,0.19,167051,Africa
Gambia,GMB,1905,,0.24,173501,Africa
Gambia,GMB,1910,,0.26,180090,Africa
Gambia,GMB,1915,,0.25,186222,Africa
Gambia,GMB,1920,,0.25,193150,Africa
Gambia,GMB,1925,,0.25,206991,Africa
Gambia,GMB,1930,,0.26,222853,Africa
Gambia,GMB,1935,,0.36,239033,Africa
Gambia,GMB,1940,,0.37,256862,Africa
Gambia,GMB,1945,,0.38,280183,Africa
Gambia,GMB,1950,7.5,0.41,306745,Africa
Gambia,GMB,1955,,0.44,348799,Africa
Gambia,GMB,1960,,0.48,398071,Africa
Gambia,GMB,1965,,0.54,455960,Africa
Gambia,GMB,1970,,0.58,524115,Africa
Gambia,GMB,1975,,0.75,606829,Africa
Gambia,GMB,1980,,1,713921,Africa
Gambia,GMB,1985,,1.32,858879,Africa
Gambia,GMB,1990,,1.85,1054703,Africa
Gambia,GMB,1995,,2.33,1264320,Africa
Gambia,GMB,2000,37,2.77,1455095,Africa
Gambia,GMB,2005,,3.39,1667035,Africa
Gambia,GMB,2010,,3.92,1926634,Africa
Gambia,GMB,2015,51,4.42,2224530,Africa
Gambia,GMB,2018,53.1602,,2399633,Africa
Gambia,GMB,2020,,4.92,2515744,Africa
Gambia,GMB,2021,51.6374,,2576015,Africa
Georgia,GEO,2002,100,,4127854,Asia
Georgia,GEO,2014,100,,3792921,Asia
Georgia,GEO,2017,99,,3792860,Asia
Georgia,GEO,2018,99.65366,,3794881,Asia
Georgia,GEO,2022,100,,3794782,Asia
Georgia,GEO,2023,99.55547,,3807494,Asia
Germany,DEU,1475,9,,9000000,Europe
Germany,DEU,1550,16,,12000000,Europe
Germany,DEU,1650,31,,13000000,Europe
Germany,DEU,1750,38,,17897050,Europe
Germany,DEU,1870,,2.22,39664615,Europe
Germany,DEU,1875,,2.44,41822422,Europe
Germany,DEU,1880,,2.67,44110884,Europe
Germany,DEU,1885,,2.89,46293746,Europe
Germany,DEU,1890,,3.1,48674276,Europe
Germany,DEU,1895,,3.31,52019260,Europe
Germany,DEU,1900,,3.48,55775391,Europe
Germany,DEU,1905,,3.62,60075384,Europe
Germany,DEU,1910,,3.74,64056716,Europe
Germany,DEU,1915,,4.42,63858476,Europe
Germany,DEU,1920,,5.07,63273356,Europe
Germany,DEU,1925,,5.55,65030007,Europe
Germany,DEU,1930,,5.57,67246048,Europe
Germany,DEU,1935,,5.94,69641071,Europe
Germany,DEU,1940,,6.24,71740083,Europe
Germany,DEU,1945,,6.56,71376625,Europe
Germany,DEU,1950,98.5,7.21,69847778,Europe
Germany,DEU,1955,,7.47,70334149,Europe
Germany,DEU,1960,,7.54,72811635,Europe
Germany,DEU,1965,,7.5,75966968,Europe
Germany,DEU,1970,,7.1,78205103,Europe
Germany,DEU,1975,,7.17,78701861,Europe
Germany,DEU,1980,,7.36,78315373,Europe
Germany,DEU,1985,,7.73,77863423,Europe
Germany,DEU,1990,,8.96,79707963,Europe
Germany,DEU,1995,,9.93,82019890,Europe
Germany,DEU,2000,,10.59,81797255,Europe
Germany,DEU,2005,,11.98,82046733,Europe
Germany,DEU,2010,,12.58,80830916,Europe
Germany,DEU,2015,,12.86,82077546,Europe
Germany,DEU,2020,,13.1,83628711,Europe
Ghana,GHA,1870,,0.01,2187227,Africa
Ghana,GHA,1875,,0.02,2253809,Africa
Ghana,GHA,1880,,0.02,2325978,Africa
Ghana,GHA,1885,,0.02,2412628,Africa
Ghana,GHA,1890,,0.03,2505515,Africa
Ghana,GHA,1895,,0.04,2608810,Africa
Ghana,GHA,1900,,0.05,2717458,Africa
Ghana,GHA,1905,,0.1,2830640,Africa
Ghana,GHA,1910,,0.15,2945929,Africa
Ghana,GHA,1915,,0.19,3049125,Africa
Ghana,GHA,1920,,0.27,3173635,Africa
Ghana,GHA,1925,,0.32,3403752,Africa
Ghana,GHA,1930,,0.36,3664587,Africa
Ghana,GHA,1935,,0.45,3930661,Africa
Ghana,GHA,1940,,0.51,4223839,Africa
Ghana,GHA,1945,,0.56,4607322,Africa
Ghana,GHA,1950,22.5,0.7,5080664,Africa
Ghana,GHA,1955,,0.83,5914933,Africa
Ghana,GHA,1960,,1.1,6961216,Africa
Ghana,GHA,1965,,2.03,7882609,Africa
Ghana,GHA,1970,,3.35,8925813,Africa
Ghana,GHA,1975,,4.23,10294312,Africa
Ghana,GHA,1980,,4.93,11941451,Africa
Ghana,GHA,1985,,5.63,13661237,Africa
Ghana,GHA,1990,,6.05,15394650,Africa
Ghana,GHA,1995,,6.27,17399023,Africa
